num_vehicles,charger_power,energy_vehicle,efficiency,avg_initial_energy,total_savings,total_original_cost
20,0.0072,0.04,0.95,0.8,0.9020373208831595,268.6666169155268
20,0.0072,0.04,0.99,0.6,8.05049397022373,268.6666169155268
20,0.0072,0.04,0.99,0.7,7.5860105278478525,268.6666169155268
20,0.0072,0.04,0.99,0.8,6.180256536612665,268.6666169155268
20,0.0072,0.064,0.9,0.6,-1.6447477060865795e-14,268.6666169155268
20,0.0072,0.064,0.9,0.7,-2.4493289341176447e-14,268.6666169155268
20,0.0072,0.064,0.9,0.8,-4.579065369793268,268.6666169155268
20,0.0072,0.064,0.95,0.6,0.9562597229916882,268.6666169155268
20,0.0072,0.064,0.95,0.7,0.9562597229916825,268.6666169155268
20,0.0072,0.064,0.95,0.8,-4.965721501179062,268.6666169155268
20,0.0072,0.064,0.99,0.6,8.54688260316964,268.6666169155268
20,0.0072,0.064,0.99,0.7,8.052528892753186,268.6666169155268
20,0.0072,0.064,0.99,0.8,7.932746113085377,268.6666169155268
20,0.0072,0.08,0.9,0.6,-1.4384066854278282e-14,268.6666169155268
20,0.0072,0.08,0.9,0.7,-2.6601568170470106e-14,268.6666169155268
20,0.0072,0.08,0.9,0.8,-5.3732918812225385,268.6666169155268
20,0.0072,0.08,0.95,0.6,0.9562597229916332,268.6666169155268
20,0.0072,0.08,0.95,0.7,0.9562597229916244,268.6666169155268
20,0.0072,0.08,0.95,0.8,-0.629472183185026,268.6666169155268
20,0.0072,0.08,0.99,0.6,8.5209381513749,268.6666169155268
20,0.0072,0.08,0.99,0.7,8.34193307342439,268.6666169155268
20,0.0072,0.08,0.99,0.8,9.900154298100757,268.6666169155268
20,0.0008,0.04,0.9,0.6,1.3188286183615786e-14,268.6666169155268
20,0.0008,0.04,0.9,0.7,-2.0887861752749712e-14,268.6666169155268
20,0.0008,0.04,0.9,0.8,-9.193337172259949e-14,268.6666169155268
20,0.0008,0.04,0.95,0.6,0.10625108033244779,268.6666169155268
20,0.0008,0.04,0.95,0.7,0.10625108033245537,268.6666169155268
20,0.0008,0.04,0.95,0.8,0.14774041229922,268.6666169155268
20,0.0008,0.04,0.99,0.6,0.9508901919999919,268.6666169155268
20,0.0008,0.04,0.99,0.7,0.9508901919999972,268.6666169155268
20,0.0008,0.04,0.99,0.8,0.9501138567432602,268.6666169155268
20,0.0008,0.064,0.9,0.6,-7.812898440186234e-14,268.6666169155268
20,0.0008,0.064,0.9,0.7,-1.24905935204242e-13,268.6666169155268
20,0.0008,0.064,0.9,0.8,-0.4733346572000512,268.6666169155268
20,0.0008,0.064,0.95,0.6,0.10625108033246003,268.6666169155268
20,0.0008,0.064,0.95,0.7,0.10625108033244601,268.6666169155268
20,0.0008,0.064,0.95,0.8,0.10625108033241551,268.6666169155268
20,0.0008,0.064,0.99,0.6,0.9508901920000448,268.6666169155268
20,0.0008,0.064,0.99,0.7,0.9508901920000745,268.6666169155268
20,0.0008,0.064,0.99,0.8,0.9378779765017776,268.6666169155268
20,0.0008,0.08,0.9,0.6,-1.0055021919253001e-13,268.6666169155268
20,0.0008,0.08,0.9,0.7,-1.283792083056623e-13,268.6666169155268
20,0.0008,0.08,0.9,0.8,-1.288188631286269e-13,268.6666169155268
20,0.0008,0.08,0.95,0.6,0.10625108033245508,268.6666169155268
20,0.0008,0.08,0.95,0.7,0.10625108033241634,268.6666169155268
20,0.0008,0.08,0.95,0.8,0.10625108033236233,268.6666169155268
20,0.0008,0.08,0.99,0.6,0.9508901920000993,268.6666169155268
20,0.0008,0.08,0.99,0.7,0.9637391537251928,268.6666169155268
20,0.0008,0.08,0.99,0.8,0.9415314541621658,268.6666169155268
40,0.006,0.04,0.9,0.6,6.020871301526398e-14,268.6666169155268
40,0.006,0.04,0.9,0.7,1.0974245817640949e-13,268.6666169155268
40,0.006,0.04,0.9,0.8,-3.818542223018032,268.6666169155268
40,0.006,0.04,0.95,0.6,1.573077498508289,268.6666169155268
40,0.006,0.04,0.95,0.7,1.5524625758425552,268.6666169155268
