num_vehicles,charger_power,energy_vehicle,efficiency,avg_initial_energy,total_savings,total_original_cost
20,0.0008,0.08,0.95,0.6,0.08376200000002665,269.15589628439716
20,0.0008,0.08,0.95,0.7,0.08376199999998497,269.15589628439716
20,0.0008,0.08,0.95,0.8,0.0837619999999432,269.15589628439716
20,0.0008,0.08,0.97,0.6,0.37598634498875916,269.15589628439716
20,0.0008,0.08,0.97,0.7,0.3759863449887496,269.15589628439716
20,0.0008,0.08,0.97,0.8,0.3029425385934256,269.15589628439716
40,0.006,0.04,0.9,0.6,5.277193612651667e-14,269.15589628439716
40,0.006,0.04,0.9,0.7,6.213985489361697e-14,269.15589628439716
40,0.006,0.04,0.9,0.8,-4.582245385352511,269.15589628439716
40,0.006,0.04,0.95,0.6,1.2475271680420452,269.15589628439716
40,0.006,0.04,0.95,0.7,1.2533902417654454,269.15589628439716
