STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72287493134,2020-02-09T11:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.82,49,60,T,,,,67,29.82,FEW:02 18 BKN:07 55 OVC:08 70,29.62,10.00,54,VRB,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12202/09/20 11:52:02 METAR KCQT 091952Z VRB06KT 10SM FEW018 BKN055 OVC070 16/09 A2982 RMK AO2 RAB26E42 SLP098 P0000 T01560094,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T12:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.80,48,60,0.00,,+0.04,8,65,29.80,FEW:02 14 BKN:07 42 BKN:07 100,29.60,10.00,54,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11902/09/20 12:52:02 METAR KCQT 092052Z 00000KT 10SM FEW014 BKN042 BKN100 16/09 A2980 RMK AO2 SLP090 60000 T01560089 58014,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T13:26:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79,47,60,,,,,62,,SCT:04 21 BKN:07 29 OVC:08 55,29.59,10.00,53,VRB,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10002/09/20 13:26:02 SPECI KCQT 092126Z VRB04KT 10SM SCT021 BKN029 OVC055 16/08 A2979 RMK AO2 T01560083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T13:50:00,FM-16,6,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79,46,61,,,,,59,,SCT:04 21 BKN:07 33 OVC:08 43,29.59,10.00,53,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09502/09/20 13:50:02 SPECI KCQT 092150Z 00000KT 10SM SCT021 BKN033 OVC043 16/08 A2979 RMK AO2 FIBI,FM-16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T13:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79,47,60,0.00,,,,62,29.79,SCT:04 21 BKN:07 33 OVC:08 43,29.59,10.00,53,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10702/09/20 13:52:02 METAR KCQT 092152Z 00000KT 10SM SCT021 BKN033 OVC043 16/08 A2979 RMK AO2 SLP087 T01560083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T14:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77,47,60,0.00,,,,62,29.77,FEW:02 25 SCT:04 39 OVC:08 85,29.57,10.00,53,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10702/09/20 14:52:02 METAR KCQT 092252Z 00000KT 10SM FEW025 SCT039 OVC085 16/08 A2977 RMK AO2 SLP080 T01560083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T15:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.78,44,59,0.00,,+0.02,5,58,29.78,OVC:08 100,29.58,10.00,51,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11702/09/20 15:52:02 METAR KCQT 092352Z VRB03KT 10SM OVC100 15/07 A2978 RMK AO2 SLP083 60000 T01500067 10172 20144 55006,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T16:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.78,43,59,0.00,,,,56,29.78,OVC:08 100,29.58,10.00,51,120,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09302/09/20 16:52:01 METAR KCQT 100052Z 12003KT 10SM OVC100 15/06 A2978 RMK AO2 SLP084 T01500061,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T17:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79,43,59,0.00,,,,56,29.79,OVC:08 100,29.59,10.00,51,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09302/09/20 17:52:01 METAR KCQT 100152Z 00000KT 10SM OVC100 15/06 A2979 RMK AO2 SLP087 T01500061,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T18:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.81,42,58,0.00,,-0.03,3,56,29.80,OVC:08 100,29.61,10.00,50,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/09/20 18:52:01 METAR KCQT 100252Z 00000KT 10SM OVC100 14/06 A2981 RMK AO2 SLP093 T01440056 53010,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
